"","UBB","HIST1H1C","UBC","PFN1","CDK4","NFKBIA","HSPA8","HSP90AB1","DAXX","ACTB","GADD45G","BTG2","PCBP1","APEX1","H2AFZ","H2AFX","TRIM28","CIB1","NOP10","SOX4","UBD","CCND1","TCEB2","DDX5","HES1","POLR2I","HIST1H1B","STOML2","PSMB6","SOX9","COPS6","RASSF7","HMGB2","CIRBP","YBX1","C9orf142","CALM3","POLR2L","SRSF6","CETN2","RAD23A","POLR2K","ZNHIT1","GADD45A","POLE3","UBA1","VCP","UBE2C","POLD4","NHP2","SOD1","CDKN1A","PUF60","TREX1","STRA13","GPS1","MDM2","HNRNPU","POLR2G","MVP","CCNO","KPNA2","RBM38","SNAI2","POLD2","TINF2","POLR2J","IDH1","THAP7","PPP4C","UBE2NL","POLR2H","CHRAC1","ASNA1","MRPL40","ZWINT","PER1","NDNL2","CDKN2A","BCL3","HRAS","TADA3","KAT2A","NPM1","RNF113A","POLR2E","YWHAE","NCAPD3","COPS7A","GATAD1","RRM2","PCNA","SUMO3","NONO","OTUB1","YWHAB","RNASEH2C","PTBP1","CCND2","ARPC4"
"UBB",1,0.281827969950628,0.188915919262959,0.21650665223568,0.155161457483977,0.0191650237079113,0.315790096559795,0.0590632098953801,0.0630394633946243,0.0903866777372285,0.30671423644108,0.136228297221186,-0.0908488113520961,0.00606449594244329,0.127844031826114,0.0403019081362145,-0.0851639381897759,0.381630282943384,0.422605346734091,-0.204895120298962,0.0302833290326227,-0.0579683661637161,0.453678597785992,0.152519659136935,0.0895308727956459,0.29678084322301,-0.0239768885954073,0.252505185499028,0.531709542472127,0.176672362869018,0.410513171481373,0.1518988464214,-0.146000059662521,0.396525212765783,-0.0506065193827202,0.364363165828053,0.415661914814356,0.455786201224281,0.143481076166757,0.330231734537773,0.0198246745805614,0.108775077192801,0.430367002881498,0.0669021115820427,0.136704304228214,-0.0164300308862879,0.167197742069087,-0.155553593197823,0.395548789152248,0.386752357798307,0.513418453832902,0.123707198679725,0.103892110429025,0.366589871080495,0.464222498571738,0.363540515127649,0.093188503558775,-0.200027169245272,0.567664990384752,-0.0494163824505417,0.0353157243665524,-0.188133686938426,-0.165879033639394,-0.160167546305011,0.297530072740913,0.395937841640419,0.309661396838739,0.288542379542643,0.310647248262791,0.206196891082886,0.269714057354766,0.056022298266636,-0.2043354485566,0.296732537960245,0.446449946123097,-0.2479410908139,0.210794998787983,0.300701272829759,-0.0512446479506259,-0.116976998570471,0.278252050090629,0.407765184363663,0.0256425372766306,0.206334118322466,0.394001856004585,0.410891491919691,0.537395629905234,0.171008387747593,0.295619504752474,0.0591692497235984,-0.175294612220517,-0.00404356859938497,0.109264966477233,0.0418508244943504,0.108337021766011,0.0253730830485024,0.499548671792382,-0.290283461964717,0.0303734934793892,0.538014533418888
"HIST1H1C",0.281827969950628,1,0.0818174347000845,0.0930857328288068,-0.0469550459432357,-0.0303537265005261,-0.00861267933845455,0.198561357672645,0.0266597739604089,-0.162802039475489,0.385164462923901,0.0950377922381924,0.0373212300793012,0.0485192712747513,-0.0579255854045811,0.00718525924485692,0.0583386705143983,0.434067841111018,0.27783591957376,-0.132909247054033,-0.0606015687477526,0.0244200002264656,0.354243572602059,0.121865307346598,0.221610373204974,0.163488357292523,0.103558170088276,0.0952835778654705,0.275868579471705,0.0580194577989364,0.210820525061253,0.333116533842268,-0.167729018129822,0.450370262726864,-0.0896897855477277,0.364267389010236,0.160251306418966,0.311684925068635,0.270852104858259,0.055516570371933,0.157202796939923,0.0628772500656452,0.258199522649172,-0.183961381023976,-0.104494125308101,0.0621199332824864,0.216001509828746,-0.1452250563535,0.489350967025841,0.228010199752425,0.337317945633147,-0.020006162083043,0.0621271360116659,0.500974222038432,0.47862442956168,0.37604230444256,-0.0508524779185224,0.0380046283915242,0.136741022598446,-0.109786072412244,0.113444089641459,-0.222342079347823,-0.0927837855489052,-0.150237221410535,0.319324408271987,0.148617185515463,0.227128801515043,0.38263181508633,0.355993016782737,0.0760207171973216,0.0395273271576783,0.123407603333408,-0.0274634347031492,0.0230606714677432,0.448426212112007,-0.185572664617617,0.0834951503802404,0.156844200281974,-0.0193356215640913,0.0314365237577904,0.31260083532631,0.468771528340212,0.121799162405611,0.241030898157895,0.260869314775278,0.287990489836596,0.111254692229721,0.28937821473457,0.107263280913698,0.0392593666464475,-0.239671019391505,-0.180259390247573,-0.0374005815346986,0.118657567243172,0.152900675810532,-0.148994361003302,0.380195819574995,0.00826083237828936,-0.162835202504633,0.263066842040197
"UBC",0.188915919262959,0.0818174347000845,1,0.0732505949609704,0.0436600235775374,0.131585289001666,0.0848079719311176,0.0104008562565894,0.11575622696234,0.391746815969155,0.150248177682291,0.127824633638222,0.118750696748874,-0.146680155806051,0.0710674950013489,-0.0759915535505474,-0.0711047749424011,0.284619753076917,0.17283788644401,-0.144223191090851,0.073150088163087,-0.0199635833184934,0.171489120417954,0.122940253752294,0.00844454009295459,0.0389677474208923,-0.0245232531399761,0.028563292171255,0.292189505294218,0.0683745799431998,0.220860348918452,0.0578815594121853,-0.0738762603010474,0.124834701584656,-0.0785861788988025,0.193345202773896,0.128824056183219,0.143478107543765,-0.154562678555736,0.122818410830958,0.0327326044033349,-0.0584874439108254,0.159394959939473,0.34302007255206,-0.0192870512512125,-0.0261139632390662,0.164150416075834,-0.131575290237615,0.291413258125963,0.0151305123746903,0.253542256234859,0.400797134168357,0.00593688774751448,0.113290970499185,0.110507086081616,0.0966558869791827,0.0588997953483094,-0.0336860126999273,0.146623012192441,0.278294062968351,-0.0173489184878661,-0.043488518077468,-0.18542671043624,0.107792042276227,0.0898557494883269,0.178780285855914,0.107878294539407,0.0258822548108909,0.190739052735086,0.0977763105092071,0.0311482798877459,-0.0162269363906419,-0.124932443985557,0.0205690570685939,0.198132522055825,-0.118520586263504,0.228236385455442,0.00239673171746342,-0.133652836792718,0.0952360034835036,0.302970403719901,0.0990981308493193,-0.000204797185145407,-0.00100046603510449,0.167553573303626,0.250043151940256,0.0883125722226643,-0.0178123960451777,0.245686250879465,0.0400872046118889,-0.0124551071505503,-0.0210566508872909,0.0504681455811802,-0.154545653311515,-0.0372400466215291,0.0530241903359019,0.11827316311719,-0.0620826709162455,0.0558484318971298,0.352804645119121
"PFN1",0.21650665223568,0.0930857328288068,0.0732505949609704,1,0.0138756187073141,0.060233866111135,-0.0583050020809285,0.0808513604770768,0.176688324103485,0.453834293583122,-0.0328370299254729,-0.109137541093287,0.339772193454828,0.400055303016886,0.254891001769799,0.48696143663265,0.259235206974676,0.172607760407003,0.541548207123848,0.0373683330850747,0.0847779275598823,-0.0737405191450085,0.602301886931528,-0.304247429604154,-0.0323358213800186,0.573478960102225,-0.0455896676760994,0.37060260032675,0.528871838723649,-0.115844340631279,0.388171045574166,0.297265484135456,0.107006611244745,-0.17277864085184,0.432356260603306,0.340326979875229,0.169209723432301,0.544670723760574,-0.183217698650726,0.381800560394297,0.44398221591326,0.471175904660524,0.592201830647084,0.122182622864225,0.144398622779793,0.360179180487994,-0.155406587006076,0.476468098291861,0.211333835573363,0.576401110182566,0.279504748204146,-0.00862813526585136,0.431675660702014,0.251806507051066,0.213699719076674,0.351214463260176,-0.0640883865303863,-0.333791890151961,0.360061300028434,0.0869937541785939,0.102213547495664,0.327148810368139,0.387281220539821,-0.0216794400492245,0.266340779464766,0.102342801252092,0.605197502274008,-0.190189761577834,0.217384881201561,0.603650938034798,0.0662450875284681,0.39916377273115,0.398675929986348,0.409604522464231,0.355818712743055,0.150816815990818,-0.104742876028047,0.268450331642589,0.513687567442554,0.377120084157026,0.0988333011203423,0.270021246498068,-0.0922192330305692,0.253666204875902,0.313400547235456,0.251765323045413,0.308697441166876,-0.144466890080238,0.195063238355901,-0.0534574730071672,0.0884759610942377,0.23282604724359,0.314032640604306,0.16253440412882,0.600856421622076,0.262265908096112,0.369559013910123,0.225144787519041,-0.126152801022154,0.420041336082008
"CDK4",0.155161457483977,-0.0469550459432357,0.0436600235775374,0.0138756187073141,1,-0.0247715197908226,0.0499121356276349,-0.0217536254093643,0.0389164394234822,0.0685837699701711,-0.00155485661906192,-0.0480298610494261,-0.0709343480546772,0.0521361445922813,0.150447391786204,0.105275398292815,0.0102794278779627,-0.0714059968902609,0.0658723180647061,0.0647420501441133,-0.0288541355804029,-0.0448382573939074,0.111618661504087,-0.0569646748841908,-0.0688474527628325,0.0829820076475561,-0.00497676385898984,0.0689237026271783,0.087004786911276,0.0701495633874705,0.132342107809063,-0.0844665186775937,0.128929365201751,-0.031790588621342,0.0915352683347272,0.0510031752155101,0.132612380341366,0.0441963849863239,-0.0632619051487291,0.0456524300587045,-0.00114857461870952,0.0309450347087321,0.115658678247697,0.0446065110760656,0.119511819937541,-0.0190923329775279,-0.0650992129844357,0.0667049300961286,-0.0629917464122061,0.102088055815448,0.0588363834279183,-0.0165280576324301,0.0570901278620005,-0.00937048181261487,0.00875953859698078,0.0651287131367154,0.56138756706028,-0.104838481159786,0.198623964004801,-0.0736899454766051,-0.031555280589719,0.0693812527969402,-0.00450129124879022,-0.0369230443153043,0.0715094091803488,0.0546357125756554,0.130152012483686,-0.0661772490438532,0.0102307361376751,0.0812598017290913,0.0731173348226845,0.0127581727149321,-0.0556769683048682,0.157724399492444,0.0551203648069205,0.0144594867851435,-0.00730027101616529,0.0656543305236571,0.089389209840107,-0.0740242967060544,0.0243256253201265,0.0164181066588972,-0.00630991800552379,-0.0411698668307292,0.0632619243597008,0.0597716047244038,0.217566297815974,-0.0516428562159191,0.0624634076750461,-0.0214181201651098,0.0638266287222134,0.133372935413234,0.0824789294172809,0.0446101860818815,0.0238102483024093,0.0420013395841495,0.0719011991584475,-0.102290180160924,0.202535472912575,0.0815309341770405
"NFKBIA",0.0191650237079113,-0.0303537265005261,0.131585289001666,0.060233866111135,-0.0247715197908226,1,-0.0179849359380078,-0.0295198016838058,0.0216566503780882,0.132151291350032,-0.0261456575379197,0.03126851513846,0.0622311395028704,-0.0252228066385096,-0.00238391905279411,-0.0370152429195991,-0.0422620867374057,0.0365368943580012,0.00443182824812197,0.00540963441952476,0.0740922269073236,0.030788231999503,0.00709240829220134,0.0868351554081236,-0.0311461444043835,-0.00884572553000518,0.0107904579402836,0.00137004468767904,0.0280186873769989,-0.0594490916090735,0.0199156602391442,0.00480187633497632,0.0215074546510619,-0.0334299332715716,-0.027980028505654,0.00707716804484388,-0.0758701772968595,0.0178530214285985,-0.0708105119214876,0.158560719344731,-0.0132285247973205,0.0405068532064137,0.0295718846213235,0.114679532255569,-0.0370872722286009,-0.0152550613463494,-0.0298757436132438,-0.00616651652185712,0.00641199801314682,-0.0094805271236862,0.0295277815557882,0.0983558246108786,0.000100417713120675,-0.0430488237192756,-0.0553765072208911,-0.0279679927778089,-0.0111319395989248,0.0254901426078625,0.00225212298333649,0.166021845996713,-0.00609710728576437,0.00289734306238801,-0.0122829898950828,0.00493745236884076,-0.00457640847910453,0.0562517259169046,0.00880564670161405,-0.0870240850333328,-0.0364027815680971,0.0461692224146852,-0.0165664057998153,-0.0228960652223651,0.0173564044024924,0.0148172618548812,-0.0344005687394685,-0.0212277780129858,0.144882586128043,0.00288572536990919,-0.00649962025180613,0.124122834340339,-0.0275567764791122,-0.055691293307052,0.00548923575468856,-0.00262892246079055,0.0371042904468242,0.00502490565255047,-0.0314289267619013,-0.0733848041802641,0.0350852128389902,0.010950988274033,-0.00503479050037768,-0.00523526899589529,0.0318009664488628,-0.0439704312872988,-0.0222507529052389,0.00213965133306576,-0.0237050298740977,-0.0114022969952203,-0.0369142833064687,0.0702993438288302
"HSPA8",0.315790096559795,-0.00861267933845455,0.0848079719311176,-0.0583050020809285,0.0499121356276349,-0.0179849359380078,1,0.0540000817364472,-0.132522286006425,-0.00188310957125657,0.0560996569978984,0.00346789561174776,-0.131560951059922,0.0463722963222187,0.0670649320486082,-0.044074149099502,-0.0708248149701856,0.0658061294375541,0.172664406868244,-0.21539460586347,0.0128198047713322,-0.0679211555967442,0.00831909271536492,0.00888425717659734,-0.0823543569916088,-0.049979321031187,0.106649774973985,0.140269034593598,0.0532966612513416,0.05141933179355,0.112149498577836,-0.0810992720588568,-0.173898645243424,0.00852416272791236,0.0146929698302924,-0.139273836541881,0.180466983178568,0.104772716037794,-0.00617699607274359,0.0546503116839702,-0.158483586843572,0.0314163742040092,0.0570492717756418,0.0687542582225471,0.207190895556898,-0.0364610105302217,0.117253957176073,-0.119212651148434,0.085165662673856,0.0930985358846545,0.0933112233425119,0.0925557107588249,0.109762012642743,-0.0180879501199264,0.11432395367184,0.0532665163488738,0.0169181787224877,-0.167066579873334,0.241335653393831,-0.0430233201537416,-0.0579648988219732,0.0140725731618467,-0.0851568811311449,-0.0210596895670265,0.0599027313517432,0.339765873022342,-0.0871690933046929,0.184740963438953,-0.0118548481033164,0.0407844417233263,0.311464891156008,-0.100406034817302,-0.130402451133453,0.205381490615652,0.0606690785727193,-0.135546161755921,-0.0504005899646266,0.116497745250296,-0.102272861126655,-0.096328131677838,-0.0684523702885884,0.0897852062534701,-0.185637170065727,0.175195464158513,0.114505420725875,0.00472993795777759,0.19916416020156,0.0676598354237101,0.138302862355418,-0.0441424188056427,0.0360857778355008,-0.0148976559661223,0.195609233538522,-0.0454000710798012,-0.0157671066653867,0.176227501870754,0.0794292536454227,-0.216077752999543,-0.0188029819863263,0.173685678637292
"HSP90AB1",0.0590632098953801,0.198561357672645,0.0104008562565894,0.0808513604770768,-0.0217536254093643,-0.0295198016838058,0.0540000817364472,1,0.171481615770158,-0.111081190280076,0.148840714030178,0.0222376493965041,0.203905032767808,0.126348574478575,-0.111704438036594,-0.0382811620708582,0.113233591562703,0.166417064710003,0.0732494836375246,0.0279904044353693,0.00685774087167938,0.0481352145557154,0.108248100685433,-0.00630124518762522,0.1412447151162,0.0464143484834561,-0.053682595831591,0.0663261654080518,0.137651079528028,-0.067647076984349,0.0442049564557777,0.153662595000459,-0.0975733667615829,0.145363922067414,-0.00193114891121993,0.0957777160303469,0.00542588117872888,0.090429804632117,0.090845054034208,-0.0611300577983628,0.119991087285784,0.026041685302379,0.0413758442332132,-0.205380985325479,-0.108098078419337,0.0741869413943537,0.201649030773999,-0.016733680383701,0.161474913286818,0.116345060887575,0.168528219686495,-0.0487450524309114,0.103544178644373,0.16351196150066,0.198013283873529,0.22041407057526,-0.0301007655842441,0.154488960739173,-0.102053123241588,-0.032793272476006,0.0607860175760901,-0.0528157099899129,-0.00598187019940936,-0.0352014294811133,0.208154688699972,-0.047053994870422,0.0435646313038288,0.180973382827364,0.112759729479714,0.00826257233301637,-0.0135188506161052,0.146223140329713,0.0754897745542716,-0.0832893096218365,0.132401062187561,-0.0308391687330146,-0.0111243751763691,0.0190355526135962,-0.082382220816184,-0.0137978189713205,0.126836493804853,0.19862285420248,0.100143579665664,0.280257306769008,0.057045991612561,0.119492470502964,-0.03244427059183,0.0986054609305302,0.0672649978905052,-0.0243593931097993,-0.0830712683618439,-0.152400540786402,-0.0614619310462819,0.205564892439417,0.110776210689041,-0.0295695746341376,0.0661012818423394,0.167237074373585,-0.16463267088073,0.0312641694929864
"DAXX",0.0630394633946243,0.0266597739604089,0.11575622696234,0.176688324103485,0.0389164394234822,0.0216566503780882,-0.132522286006425,0.171481615770158,1,0.198403501648849,-0.0109106824292487,-0.0878254442526062,0.147109766142931,0.0699875110992765,0.0416692560172644,0.0727399271030697,0.0837600187574558,0.0423212495872434,0.125002194965957,0.124927158268239,0.0862603558493241,-0.0282294723760673,0.125768543834104,-0.108241430125943,-0.0347117741566926,0.12935733804225,-0.101687384505215,0.0857229516631354,0.149326160254517,-0.0421449660952299,0.0753998468128737,0.0582924213566871,0.0616501590929602,-0.0152105914616875,0.083858342144157,0.120739524206133,0.061039290562246,0.110853339831694,-0.127025973128048,0.047358324103693,0.081771906421944,-0.023274402943424,0.1034926446193,0.0646342192601398,0.0297256098228481,-0.0377464409191144,-0.0302220305464845,0.0711114022483653,0.0568325531875833,0.0957791869592681,0.0508659898436215,0.162850048368396,0.0269664189594262,0.0276030855183131,0.0595539127326498,0.12525931358145,0.00665873705413283,-0.12170502696043,0.12898803465536,0.123669733027738,-0.0490961648776895,0.0333293358124876,-0.00733360859953648,0.0672011563681699,0.10222343475814,0.0364956605689272,0.106967945510318,-0.147637520058376,0.0964721708574685,0.202806166443867,-0.0185669400263583,0.0948940012827536,0.00439093663077255,0.0647285427910981,0.090280202205492,0.0783439928465104,0.0259084689098408,0.0203691195316642,0.0485664556503251,0.0463894570493477,0.153238668235237,0.0562801990331394,0.0389528008907043,0.00118755376333503,0.0964389620806551,0.133951326409973,0.0869371549357984,-0.105644497733385,0.0653633425535727,-0.019093173550462,0.0307974019790135,0.131519776379084,0.0776428113998709,0.0430155076858236,0.115520317792294,0.0547999532017725,0.080786920825035,0.110118838770368,-0.0035576919171642,0.185507966723634
"ACTB",0.0903866777372285,-0.162802039475489,0.391746815969155,0.453834293583122,0.0685837699701711,0.132151291350032,-0.00188310957125657,-0.111081190280076,0.198403501648849,1,-0.143374411810185,-0.0627733178898852,0.182217568026196,0.0378935689195212,0.145461468607635,0.177787319571441,0.0108045075681555,0.0363221180368225,0.204084945237976,0.0999580042609217,0.0821196462980159,0.0168942334509701,0.233481891749846,-0.159716938767361,-0.121938301102397,0.211399363734579,-0.02834994458701,0.0217753192467405,0.174428495034743,-0.00962188890064106,0.226581369004271,-0.0238231183502472,0.104179686733966,-0.215356755596704,0.195354253184569,0.0909207994024375,0.15892811952282,0.227031058395445,-0.3550308818398,0.269776768742174,0.139201345520953,0.189816003553979,0.265671065858206,0.473100928619409,0.0674322896539595,0.148127379659084,-0.179979003575271,0.19351333268338,0.0570331464141185,0.133198400956455,0.038891694313259,0.343520419027857,0.153915651068567,-0.0765268953410523,-0.154391298014544,-0.00742982546079914,0.0557711558252735,-0.179876850949962,0.193920701118342,0.399546885961146,-0.0556914689218163,0.20730184907533,0.120092901232934,0.151805833872812,0.0357631922784685,0.0659813792130012,0.24034429308592,-0.319255588310868,0.00648776999383537,0.359464964003579,-0.0734716376656396,-0.0199548779173805,0.169212138881721,0.210325099447664,0.0564962679102856,0.040040025552527,0.0526427099287812,0.0774739051751865,0.175778036482689,0.271304989215419,0.0420284883529843,0.0165225490720609,-0.183019063922178,-0.0468708008978765,0.13790902269148,0.173988868006443,0.127456517536397,-0.255007814895309,0.128108384321905,0.00549297417122834,0.110522862776663,0.108080124402699,0.25660606210127,-0.0618818542889213,0.168256092749413,0.316215999615738,0.0603170144410148,0.0880392648723358,0.0894944416809236,0.415517473061012
